Codigo;Estacion;Longitud;Latitud;Fecha_inicio;Variables_medidas
170001;Visviri Tenencia;-69.2839;-17.3542;May 2013;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
180017;Putre;-69.3345;-18.1201;Dic 2016;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
180042;Cerro Sombrero Arica;-70.1556;-18.3045;Ago 2017;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
180018;Defensa Civil Arica;-70.1805;-18.2928;Ene 2017;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
200010;UNAP Iquique;-70.0751;-20.1615;Ene 2017;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
200007;La Huayca PA;-69.3739;-20.2518;Dic 2016;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
230004;Toconao;-68.0020;-23.1110;May 2013;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
250005;Taltal;-70.2903;-25.2440;Dic 2013;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
270009;Copiapo Universidad Atacama;-70.2112;-27.2132;Dic 2016;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
280010;Freirina;-71.0036;-28.3101;Dic 2016;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
300046;Vicuna;-70.4150;-30.0201;Oct 2017;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
300034;El Tololo;-70.4813;-30.1006;Jun 2015;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
300024;Ovalle;-71.1112;-30.3448;Oct 2017;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
300047;Monte Patria;-70.5728;-30.4154;Oct 2017;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
320063;Zapallar Catapilco;-71.1752;-32.3341;Jun 2016;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
320051;Los Libertadores;-70.0709;-32.5044;Dic 2012;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
330006;Jardin Botanico Vina del Mar;-71.3007;-33.0242;Dic 2015;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad
330111;Lo Prado Cerro San Francisco;-70.5655;-33.2729;Dic 2012;Temperatura, Lluvia, Radiacion Global, Viento, Presion, Humedad




